stall_id,stall_name,food_name,food_id,food_price,food_categories
01,CHUVEG,Assorted Churros 4pcs,1,₱49.00,Snack
01,CHUVEG,Assorted Churros 8pcs,2,₱89.00,Snack
01,CHUVEG,Carrot Based Churros 8pcs,3,₱89.00,Snack
01,CHUVEG,Carrot-Based Churros 4pcs,4,₱49.00,Snack
01,CHUVEG,Squash-Based Churros 4pcs,5,₱49.00,Snack
01,CHUVEG,Squash-Based Churros 8pcs,6,₱89.00,Snack
02,SariSip & Crunch / WhatToFudge,Berry Fudgy,7,₱35.00,Snack
02,SariSip & Crunch / WhatToFudge,Classic Fudge,8,₱30.00,Snack
02,SariSip & Crunch / WhatToFudge,Fudgin' Nuts,9,₱30.00,Snack
02,SariSip & Crunch / WhatToFudge,Fudgy Banana,10,₱25.00,Snack
02,SariSip & Crunch / WhatToFudge,Veggie Chips ,11,₱30.00,Snack
02,SariSip & Crunch / WhatToFudge,Veggie Chips + Cucumber Spark Yakult,12,₱85.00,"Snack, Beverage, Cold"
02,SariSip & Crunch / WhatToFudge,Veggie Chips + Mango Spark Yakult,13,₱85.00,"Snack, Beverage, Cold"
03,TRINAS SIZZLING,Bangus Sisig,14,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,BBQ Sisig,15,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Pork Sisig,16,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Liempo Sisig,17,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Beef Sisig,18,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Chicken Sisig,19,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Chicken Pops w/ Rice Sriracha,20,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Cheese Balls,21,₱20.00,"Snack, Hot"
03,TRINAS SIZZLING,Flavored French Fries,22,₱50.00,"Snack, Hot"
03,TRINAS SIZZLING,Pork Steak,23,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Pork Menudo,24,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Chicken Adobo,25,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Liempo Ihaw,26,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Chicken Lemon,27,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Crispy Pork Tonkatsu,28,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Korean Fried Chicken,29,₱75.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Crispy Enoki Mushroom w/ Rice,30,₱50.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Crispy Enoki Mushroom w/o Rice,31,₱35.00,"Rice Meal, Hot"
03,TRINAS SIZZLING,Rice Toppings,32,₱45.00,"Rice Meal, Hot"
06,PEPPER'S Food Stall,Beef,33,₱70.00,"Rice Meal, Hot"
06,PEPPER'S Food Stall,Chicken Cajun,34,₱60.00,"Rice Meal, Hot"
06,PEPPER'S Food Stall,Classic Crunchy Bar,35,₱35.00,"Snack, Cold"
06,PEPPER'S Food Stall,Creamstick,36,₱28.00,"Snack, Cold"
06,PEPPER'S Food Stall,Dessert Bar,37,₱22.00,"Snack, Cold"
06,PEPPER'S Food Stall,Fiesta ICs,38,₱30.00,"Snack, Cold"
06,PEPPER'S Food Stall,Gusto Ko 2,39,₱20.00,"Snack, Cold"
06,PEPPER'S Food Stall,Ham Fried Rice,40,₱55.00,"Rice Meal, Hot"
06,PEPPER'S Food Stall,Hernz 850mL,41,₱150.00,"Snack, Cold"
06,PEPPER'S Food Stall,Hotdog Fried Rice,42,₱55.00,"Rice Meal, Hot"
06,PEPPER'S Food Stall,Ice Lolly ,43,₱15.00,"Snack, Cold"
06,PEPPER'S Food Stall,Premium Buko Salad,44,₱30.00,"Snack, Cold"
06,PEPPER'S Food Stall,Seafood,45,₱80.00,"Rice Meal, Hot"
06,PEPPER'S Food Stall,Sundae Cup,46,₱18.00,"Snack, Cold"
07,Kape Kuripot,Kape Matcha,47,₱48.00,"Beverage, Cold"
07,Kape Kuripot,Kape Latte,48,₱43.00,"Beverage, Cold"
07,Kape Kuripot,Kape Chocolate,49,₱38.00,"Beverage, Cold"
07,Kape Kuripot,Kape Vanilla,50,₱38.00,"Beverage, Cold"
07,Kape Kuripot,Kape Caramel,51,₱38.00,"Beverage, Cold"
07,Kape Kuripot,Kape Hazelnut,52,₱38.00,"Beverage, Cold"
07,Kape Kuripot,Kape Seasalt,53,₱48.00,"Beverage, Cold"
09,Master Siomai / Potato Corner,Chicken Siomai Rice Bowl,54,₱47.00,"Rice Meal, Hot"
09,Master Siomai / Potato Corner,Gulaman,55,₱15.00,"Beverage, Cold"
09,Master Siomai / Potato Corner,Sharksfin Siomai Rice Bowl,56,₱50.00,"Rice Meal, Hot"
09,Master Siomai / Potato Corner,Pork & Shrimp Siomai Rice Bowl,57,₱47.00,"Rice Meal, Hot"
09,Master Siomai / Potato Corner,Japanese Siomai Rice Bowl,58,₱56.00,"Rice Meal, Hot"
09,Master Siomai / Potato Corner,Beef Siomai Rice Bowl,59,₱50.00,"Rice Meal, Hot"
09,Master Siomai / Potato Corner,Regular Flavored Fries ,60,₱41.00,"Snack, Hot"
09,Master Siomai / Potato Corner,Large Flavored Fries,61,₱67.00,"Snack, Hot"
09,Master Siomai / Potato Corner,Jumbo Flavored Fries,62,₱97.00,"Snack, Hot"
09,Master Siomai / Potato Corner,Mega Flavored Fries,63,₱127.00,"Snack, Hot"
09,Master Siomai / Potato Corner,Giga Flavored Fries,64,₱198.00,"Snack, Hot"
09,Master Siomai / Potato Corner,Tera Flavored Fries,65,₱228.00,"Snack, Hot"
09,Master Siomai / Potato Corner,Solo Crunchy Chicken Pops,66,₱75.00,"Snack, Hot"
09,Master Siomai / Potato Corner,Large Crunchy Chicken Pops,67,₱95.00,"Snack, Hot"
09,Master Siomai / Potato Corner,Mega Crunchy Chicken Pops,68,₱199.00,"Snack, Hot"
09,Master Siomai / Potato Corner,Large Loopys,69,₱75.00,"Rice Meal, Hot"
09,Master Siomai / Potato Corner,Mega Loopys,70,₱135.00,"Snack, Hot"
09,Master Siomai / Potato Corner,Tuna Siomai Rice Bowl,71,₱50.00,"Snack, Hot"
10,"BAGNET, BBQ, atbp.",Bagnet w/ Rice,72,₱70.00,"Rice Meal, Hot"
10,"BAGNET, BBQ, atbp.",BBQ (2 Sticks) w/ Rice,73,₱70.00,"Rice Meal, Hot"
10,"BAGNET, BBQ, atbp.",Grilled Hotdog w/ Rice,74,₱50.00,"Rice Meal, Hot"
10,"BAGNET, BBQ, atbp.",Naked Kare Kare Solo,75,₱99.00,"Rice Meal, Hot"
10,"BAGNET, BBQ, atbp.",Naked Kare Kare Big,76,₱120.00,"Rice Meal, Hot"
10,"BAGNET, BBQ, atbp.",Beef Samgyup,77,₱99.00,"Rice Meal, Hot"
10,"BAGNET, BBQ, atbp.",Chicken Pastil w/ Rice,78,₱60.00,"Rice Meal, Hot"
10,"BAGNET, BBQ, atbp.",Bagnet + BBQ w/ Rice,79,₱80.00,"Rice Meal, Hot"
10,"BAGNET, BBQ, atbp.",Grilled Hotdog w/ Rice,80,₱75.00,"Rice Meal, Hot"
10,"BAGNET, BBQ, atbp.",Chicken Poppers w/ Rice B1G1,81,₱90.00,"Rice Meal, Hot"
10,"BAGNET, BBQ, atbp.",Chicken Poppers w/ Rice Solo,82,₱55.00,"Rice Meal, Hot"
10,"BAGNET, BBQ, atbp.",Beef Enoki on Stick (5pcs) w/ Yakitori Sauce and Cheese,83,₱55.00,"Snack, Hot"
10,"BAGNET, BBQ, atbp.",Beef Enoki w/ Rice (5pcs) w/ Yakitori Sauce and Cheese,84,₱75.00,"Rice Meal, Hot"
10,"BAGNET, BBQ, atbp.",Pork Sisig w/ Rice ,85,₱70.00,"Rice Meal, Hot"
11,CUADRO DE J,Beef Pepper Rice B1T1,86,₱119.00,"Rice Meal, Hot"
11,CUADRO DE J,Shawarma Rice,87,₱99.00,"Rice Meal, Hot"
11,CUADRO DE J,Pad Kra Pao,88,₱119.00,"Rice Meal, Hot"
11,CUADRO DE J,Meatballs w/ Chao fan,89,₱70.00,"Rice Meal, Hot"
11,CUADRO DE J,Hotdog w/ Chao fan,90,₱70.00,"Rice Meal, Hot"
11,CUADRO DE J,Embotido w/ Chao fan,91,₱70.00,"Rice Meal, Hot"
11,CUADRO DE J,Shanghai w/ Chao fan,92,₱70.00,"Rice Meal, Hot"
11,CUADRO DE J,Longganisa w/ Chao fan,93,₱70.00,"Rice Meal, Hot"
11,CUADRO DE J,Maling w/ Chao fan,94,₱70.00,"Rice Meal, Hot"
11,CUADRO DE J,Tofu Sisig w/ Chao fan,95,₱80.00,"Rice Meal, Hot"
11,CUADRO DE J,Burger Steak w/ Chao fan,96,₱80.00,"Rice Meal, Hot"
11,CUADRO DE J,Siomai w/ Chao fan,97,₱80.00,"Rice Meal, Hot"
12,Fresh Fruits Juices and Smoothies,Lemonade M,98,₱25.00,"Beverage, Cold"
12,Fresh Fruits Juices and Smoothies,Lemonade L,99,₱35.00,"Beverage, Cold"
12,Fresh Fruits Juices and Smoothies,Cucumber M,100,₱25.00,"Beverage, Cold"
12,Fresh Fruits Juices and Smoothies,Cucumber L,101,₱35.00,"Beverage, Cold"
12,Fresh Fruits Juices and Smoothies,Watermelon M ,102,₱25.00,"Beverage, Cold"
12,Fresh Fruits Juices and Smoothies,Watermelon L,103,₱35.00,"Beverage, Cold"
12,Fresh Fruits Juices and Smoothies,Lemon Apple M ,104,₱25.00,"Beverage, Cold"
12,Fresh Fruits Juices and Smoothies,Lemon Apple L,105,₱25.00,"Beverage, Cold"
12,Fresh Fruits Juices and Smoothies,Melon M,106,₱35.00,"Beverage, Cold"
12,Fresh Fruits Juices and Smoothies,Melon L,107,₱45.00,"Beverage, Cold"
12,Fresh Fruits Juices and Smoothies,Mango Milk M ,108,₱35.00,"Beverage, Cold"
12,Fresh Fruits Juices and Smoothies,Mango Milk L,109,₱45.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Sisig Rice,110,₱70.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,"Buy 1, Take 1 Burger",111,₱30.00,"Snack, Hot"
13,Fudbook KITCHENETTE,Siomai Rice 4pcs,112,₱35.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Fruit Shake M,113,₱55.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Fruit Shake L,114,₱60.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Lemonade M,115,₱20.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Lemonade L,116,₱25.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Lemonade XL,117,₱40.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Lychee Juice M,118,₱20.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Lychee Juice L,119,₱25.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Lychee Juice XL,120,₱40.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Melon Juice M,121,₱20.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Melon Juice L,122,₱25.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Melon Juice XL,123,₱40.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Milo M,124,₱20.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Milo L,125,₱25.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Milo XL,126,₱40.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Lemon Ice Tea M,127,₱20.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Lemon Ice Tea L,128,₱25.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Lemon Ice Tea XL,129,₱40.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Red Tea Juice M,130,₱20.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Red Tea Juice L,131,₱25.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Red Tea Juice XL,132,₱40.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Mango Juice M,133,₱20.00,"Beverage, Cold"
